"id","name","proposed_family","official_fields","assignment_kind","reason","source_url"
"silphymon","Silphymon","Wind Guardians","Nature Spirits | Virus Busters | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Virus_Busters | https://wikimon.net/Category:Wind_Guardians"
"sistermon_b_awake","Sistermon B (Awake.)","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"sistermon_c_awake","Sistermon C (Awake.)","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"sistermon_ciel","Sistermon Ciel","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"skullgreymon","SkullGreymon","Dragon's Roar","Dragon's Roar | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Nightmare_Soldiers"
"skullmeramon","SkullMeramon","Dragon's Roar","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"socerimon","Socerimon","Deep Savers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"solarmon","Solarmon","Virus Busters","Metal Empire | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Virus_Busters"
"starmon","Starmon","Deep Savers","Deep Savers | Metal Empire | Nature Spirits | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Deep_Savers | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers"
"stingmon","Stingmon","Jungle Troopers","Jungle Troopers | Nature Spirits | Nightmare Soldiers | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Jungle_Troopers | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Wind_Guardians"
"strikedramon","Strikedramon","Metal Empire","Metal Empire | Nature Spirits","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits"
"sukamon","Sukamon","Nature Spirits","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"superstarmon","SuperStarmon","Metal Empire","Metal Empire | Nature Spirits","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits"
"susanomon","Susanomon","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"syakomon","Syakomon","Deep Savers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"tanemon","Tanemon","Jungle Troopers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"taomon","Taomon","Nightmare Soldiers","Nature Spirits | Nightmare Soldiers | Virus Busters | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Virus_Busters | https://wikimon.net/Category:Wind_Guardians"
"tentomon","Tentomon","Jungle Troopers","Jungle Troopers | Metal Empire | Nature Spirits","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Jungle_Troopers | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits"
"terriermon","Terriermon","Wind Guardians","Metal Empire | Nature Spirits | Virus Busters | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Virus_Busters | https://wikimon.net/Category:Wind_Guardians"
"tigervespamon","TigerVespamon","Metal Empire","Jungle Troopers | Metal Empire | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Jungle_Troopers | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Wind_Guardians"
"titamon","Titamon","Nightmare Soldiers","Dark Area | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dark_Area | https://wikimon.net/Category:Nightmare_Soldiers"
"togemon","Togemon","Jungle Troopers","Jungle Troopers | Nature Spirits | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Jungle_Troopers | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Wind_Guardians"
"triceramon","Triceramon","Nightmare Soldiers","Nature Spirits | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers"
"tsumemon","Tsumemon","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"tsunomon","Tsunomon","Nature Spirits","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"turuiemon","Turuiemon","Nature Spirits","Nature Spirits | Unknown","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Unknown"
"tyrannomon","Tyrannomon","Dragon's Roar","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"ulforceveedramon","UlforceVeedramon","Dragon's Roar","Dragon's Roar | Nature Spirits | Virus Busters | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Virus_Busters | https://wikimon.net/Category:Wind_Guardians"
"unimon","Unimon","Wind Guardians","Nature Spirits | Virus Busters | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Virus_Busters | https://wikimon.net/Category:Wind_Guardians"
"vademon","Vademon","Dark Area","Dark Area | Unknown","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dark_Area | https://wikimon.net/Category:Unknown"
"valkyrimon","Valkyrimon","Wind Guardians","Nature Spirits | Virus Busters | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Virus_Busters | https://wikimon.net/Category:Wind_Guardians"
"varodurumon","Varodurumon","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"veedramon","Veedramon","Dragon's Roar","Dragon's Roar | Nature Spirits | Virus Busters | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Virus_Busters | https://wikimon.net/Category:Wind_Guardians"
"veemon","Veemon","Nature Spirits","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"vegiemon","Vegiemon","Jungle Troopers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"venommyotismon","VenomMyotismon","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"vikemon","Vikemon","Deep Savers","Deep Savers | Nature Spirits","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Deep_Savers | https://wikimon.net/Category:Nature_Spirits"
"volcanomon","Volcanomon","Dragon's Roar","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"wargreymon","WarGreymon","Dragon's Roar","Deep Savers | Dragon's Roar | Metal Empire | Nature Spirits | Nightmare Soldiers | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Deep_Savers | https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Virus_Busters"
"wargrowlmon","WarGrowlmon","Dragon's Roar","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"waspmon","Waspmon","Metal Empire","Metal Empire | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Wind_Guardians"
"weregarurumon","WereGarurumon","Wind Guardians","Metal Empire | Nature Spirits | Nightmare Soldiers | Virus Busters | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Virus_Busters | https://wikimon.net/Category:Wind_Guardians"
"weregarurumon_blk","WereGarurumon (Blk)","Nightmare Soldiers","Nature Spirits | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers"
"wingdramon","Wingdramon","Dragon's Roar","Dragon's Roar | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Wind_Guardians"
"wizardmon","Wizardmon","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"woodmon","Woodmon","Jungle Troopers","Jungle Troopers | Nature Spirits | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Jungle_Troopers | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Wind_Guardians"
"wormmon","Wormmon","Jungle Troopers","Jungle Troopers | Nature Spirits | Nightmare Soldiers | Unknown","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Jungle_Troopers | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Unknown"
"yokomon","Yokomon","Jungle Troopers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
